entity,label,definition,variables,parent_label,parent_IRI
http://purl.bioontology.org/ontology/SNOMEDCT/224619008,Migrant,,icemr1 brazil participant 05jul18z st::migrante,Relocation,http://purl.obolibrary.org/obo/EUPATH_0022068
http://purl.bioontology.org/ontology/SNOMEDCT/40541001,Acute pulmonary edema,,manifestations chk   1; pulmonary edema rad,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002
http://purl.obolibrary.org/obo/BFO_0000015,Observation type,"Information about clincial history, anthropometry, vital signs, symptoms, samples, and treatment were collected at enrollment as well as routine and non-routine visits to the cinic. Information about sleeping habits and mosquito traps were collected at entomology visits to the participant's home, which occured every 2 weeks.; All variables were collected at the enrollment observation. At 24 hour and 48 hour follow-up observations, a few variables related to oxygen saturation were recollected for cases. At the 30 day follow-up observation, a few anthropometry variables were recollected for cases.; Children enrolled in the VIDA study were seen at an enrollment visit and at a 60 day follow-up visit. Additionally, diarrheal cases may have additional measurements taken repeatedly over the course of their health center or hospital stay; following rehydration and upon leaving the facility.",visittype; redcap event name; datasource; 126plate300::visnum; 226plate103::visnum; 226plate084::dfseq; 226plate033::dfseq; 226plate006::dfseq; 226plate001::dfseq; 226plate083::dfseq; 227plate300::dfstudy; 126plate100::dfstudy; 126plate053::dfseq; 126plate304::visnum; 226plate400::dfstudy; 226plate010::dfseq; 226plate113::dfseq; 126plate038::dfseq; 226plate054::dfseq; 126plate402::visnum; 227plate001::dfseq; 226plate030::dfseq; 126plate002::dfseq; 126plate091::dfseq; 126plate312::visnum; 226plate300::dfstudy; 126plate400::visnum; 126plate037::dfseq; 126plate313::visnum; 126plate004::dfseq; 227plate497::visitcode1; 226plate201::visnum; 126plate035::dfseq; 226plate211::visnum; 226plate212::visnum; 226plate020::dfseq; 126plate003::dfseq; 126plate301::visnum; 126plate023::dfseq; 226plate042::dfseq; 226plate003::dfseq; 226plate014::dfseq; 226plate202::visnum; 226plate102::visnum; 226plate023::dfseq; 226plate210::visnum; 226plate221::visnum; 226plate101::visnum; 226plate152::dfseq; 126plate314::visnum; 226plate080::dfseq; 226plate220::visnum; 126plate303::visnum; 226plate499::dfseq; 226plate082::dfseq; 226plate005::dfseq; 126plate412::visnum; 126plate093::dfseq; 226plate153::dfseq; 226plate110::dfseq; 126plate302::visnum; 126plate031::dfseq; 126plate032::dfseq; 226plate051::dfseq; 226plate032::dfseq; 126plate034::dfseq; 126plate090::dfseq; 126plate036::dfseq; 226plate100::visnum; 226plate114::dfseq; 226plate031::dfseq; 126plate033::dfseq; 126plate413::visnum; 226plate022::dfseq; 226plate052::dfseq; 126plate024::dfseq; 226plate021::dfseq; 226plate222::visnum; 226plate012::dfseq; 126plate011::dfseq; 227plate006::passvisit; 226plate053::dfseq; 226plate112::dfseq; 226plate150::dfseq; 226plate044::dfseq; 227plate496::visitcode1; 126plate052::dfseq; 126plate315::visnum; 226plate081::dfseq; 126plate401::visnum; 226plate013::dfseq; 226plate041::dfseq; 126plate403::visnum; 126plate051::dfseq; 226plate004::dfseq; 226plate151::dfseq; 226plate040::dfseq; 227plate498::visitcode; 226plate043::dfseq; 227plate004::passvisit; 126plate499::dfseq; 126plate054::dfseq; 226plate050::dfseq; 227plate499::dfseq; 126plate411::visnum; 126plate022::dfseq; 126plate305::visnum; 126plate021::dfseq; 226plate119::dfseq; 226plate200::visnum; 227plate005::passvisit; 226plate055::dfseq; 226plate011::dfseq; 227plate007::passvisit; 126plate311::visnum; 126plate092::dfseq; 226plate111::dfseq; 126plate414::visnum; ext lab bv cmvrt::vstnum; ext bv sae st::vstnum; ext lab bv cytmp::vstnum; ext bv dir st::vstnum; ext lab bv cytcp::vstnum; ext mgmt bv danth::vstnum; ext bv flm::flmvn; ext lab bv rals::vstnum; ext lab bv rpliga::vstnum; ext mgmt bv ddep st::vstnum; ext bv pdv st::vstnum; ext mgmt pso 18 st::vstnum; ext lab bv egf::vstnum; ext bv f39::f39vn; ext lab bv polpcr::vstnum; ext bv fan::fanvn; ext lab bv neop::vstnum; ext lab bv rbmiga::vstnum; ext lab bv bml st::vstnum; ext bv f17::f17vn; ext bv f18::f18vn; ext lab bv fer::vstnum; ext lab bv cytbm::vstnum; ext lab bv vac st::vstnum; ext lab bv speclog is st::vstnum; ext lab bv qpcr::vstnum; ext lab bv speclog iu st::vstnum; ext bv fci::vnum; ext bv mfu st::vstnum; ext mgmt psi1 2 3 st::vstnum; ext bv rvn::vnum; ext lab bv mpo::vstnum; ext lab bv pcr::vstnum; ext lab bv rpligg::vstnum; ext lab bv crp::vstnum; ext bv neb st::vstnum; ext lab bv rbp::vstnum; ext bv f52::f52vn; ext lab bv act::vstnum; ext mgmt bv lmratio::lmwk; ext bv f06::f6vn; ext lab bv speclog vsp st::vstnum; ext lab bv mfge8::vstnum; ext lab bv polsna infant st::vstnum; ext bv fcs st::vstnum; ext lab bv endotox::vstnum; ext lab bv ctu::vstnum; ext bv rss st::vstnum; ext lab bv polsna mother st::vstnum; ext bv bsc::vnum; ext lab bv speclog cs st::vstnum; ext bv dsmicr st::vstnum; ext bv f104::f104vn; ext lab bv dsgene::vstnum; ext lab bv scd14::vstnum; ext lab bv polcul::vstnum; ext lab bv reg1b upd1::vstnum; ext lab bv speclog fc st::vstnum; ext bv f40::f40vn; ext lab bv speclog ib st::vstnum; ext lab bv tacd::vstnum; ext bv f10::f10vn; ext lab bv pcrproto::vstnum; ext lab bv pals::vstnum; ext bv ref st::vstnum; ext lab bv vitd::vstnum; ext lab bv lps upd1::vstnum; ext lab bv speclog ds st::vstnum; ext bv f53::f53vn; ext lab bv tac::vstnum; ext lab bv speclog vsr st::vstnum; ext lab bv ctt::vstnum; ext lab bv calp::vstnum; ext lab bv cmv::vstnum; ext mgmt bv mib st::vstnum; ext mgmt bv aed st::vstnum; ext bv ps1 2 st::vstnum; ext lab bv rotavs::vstnum; ext lab bv zn::vstnum; ext lab bv speclog bm st::vstnum; ext bv dep st::vstnum; ext lab bv ala::vstnum; ext bv f14::f14vn; ext bv epd::vnum; ext bv ptreat st::vstnum; ext bv sbo::sbvn; ext lab bv speclog mb st::vstnum; crf9 mali project 1 data::intervalname; crf8 mali project 1 data::x...intervalname; crf1 mali project 1 data::x...intervalname; crf3 mali project 1 data::x...intervalname; observation type,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/CHEBI_10023,Voriconazole,,VCZ,Triazoles,http://purl.obolibrary.org/obo/CHEBI_35727
http://purl.obolibrary.org/obo/CHEBI_15765,L-dopa,,LDOPA Ave+Std Dev; LDOPA,Anti-fungal agent resistance,http://purl.obolibrary.org/obo/OMP_0000274
http://purl.obolibrary.org/obo/CHEBI_16240,Hydrogen peroxide (H2O2),,H2O2,Anti-fungal agent resistance,http://purl.obolibrary.org/obo/OMP_0000274
http://purl.obolibrary.org/obo/CHEBI_22723,Compound benzoic acid,,ext bv ptreat st::compound benzoic acid,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/CHEBI_23888,Compound,,Compound,Administration of material to specimen,http://purl.obolibrary.org/obo/OBI_0000995
http://purl.obolibrary.org/obo/CHEBI_2682,Amphotericin B,,AmB,Anti-fungal agent resistance,http://purl.obolibrary.org/obo/OMP_0000274
http://purl.obolibrary.org/obo/CHEBI_34905,Paraquat,,Paraquat Ave+Std Dev,Anti-fungal agent resistance,http://purl.obolibrary.org/obo/OMP_0000274
