IRI,label,variable,codebookDescription,codebookValues
http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,F7_ABN_HAIR | F4B_ABN_HAIR | F5_ABN_HAIR,"Physical findings: Abnormal hair: sparse, loose, straight",0
http://purl.obolibrary.org/obo/EUPATH_0010016,Diarrheal episodes,F4A_BREASTFED_BEFORE_ILL,Was child breastfeeding during the week before becoming ill with diarrhea?,0
http://purl.obolibrary.org/obo/EUPATH_0010016,Diarrheal episodes,F4A_BREASTFED_SINCE_ILL,Has child been breast feeding since becoming ill with diarrhea?,0
http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,F3_CHILD_LSD,Is the child eligible for enrollment in the LSD study,
http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,F3_CHILD_MSD,Is the child eligible for enrollment in the MSD study,
http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,F3_DATE,Date eligibility form was completed,Date
http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,F3_LSD_CASE,Is this child currently enrolled in GEMS1A as an LSD Case?,0/1
http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,F3_MSD_CASE,Is this child currently enrolled in GEMS1A as an MSD Case?,0/1
http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,F6_LSD_MSD,Enrollment for Case MSD or LSD,0/1
http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,LSD,Did child have Less Severe Diarrhea?,
http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,MSD,Did child have moderate-to-severe diarrhea?,
http://purl.obolibrary.org/obo/EUPATH_0010400,Hand washing material,F5_WASH_CLAY,"If hands are washed in or near dwelling/yard, ask to see the place and record whether the following items are present: Clay",0
http://purl.obolibrary.org/obo/EUPATH_0010400,Hand washing material,F5_WASH_MUD,"If hands are washed in or near dwelling/yard, ask to see the place and record whether the following items are present: Mud",0
http://purl.obolibrary.org/obo/EUPATH_0011690,Breastfeeding summary,F7_EVERBREASTFED,Was the child ever breastfed?,0/1
http://purl.obolibrary.org/obo/EUPATH_0011761,Stool bacteria testing,F17CORR_EPEC_EAE,PCR Duplex: EPEC eae,0
http://purl.obolibrary.org/obo/EUPATH_0011761,Stool bacteria testing,F17CORR_EPEC_ST,PCR Duplex: EPEC ST,0
http://purl.obolibrary.org/obo/EUPATH_0011761,Stool bacteria testing,F19_BFRAG_TESTNON,B. fragilis test performed,0
http://purl.obolibrary.org/obo/EUPATH_0011843,Raw bacteria data for stool,F16_VIB_01,Bacteria Isolated: Vibrio cholerae O1 Serotype,0
http://purl.obolibrary.org/obo/EUPATH_0011843,Raw bacteria data for stool,F16_VIB_0139,Bacteria Isolated: Vibrio cholerae O139 Serotype,0
http://purl.obolibrary.org/obo/EUPATH_0011843,Raw bacteria data for stool,F16_VIB_ELTORCLASS,Bacteria isolated: Vibrio cholerae O1 El tor class,1
http://purl.obolibrary.org/obo/EUPATH_0011843,Raw bacteria data for stool,F16CORR_SHIG_DYSENT1,Bacteria Isolated: Shigella dysenteriae serotype 1,0
http://purl.obolibrary.org/obo/EUPATH_0011843,Raw bacteria data for stool,F16CRF_SHIG_7,Shigella flexneri serotype  7,
