"superclass","subclass.count"
"http://purl.obolibrary.org/obo/ENVO_00003064",21
"http://purl.obolibrary.org/obo/EUPATH_0000001",4
"http://purl.obolibrary.org/obo/EUPATH_0000003",5
"http://purl.obolibrary.org/obo/EUPATH_0000023",13
"http://purl.obolibrary.org/obo/EUPATH_0000040",2
"http://purl.obolibrary.org/obo/EUPATH_0000090",3
"http://purl.obolibrary.org/obo/EUPATH_0000096",560
"http://purl.obolibrary.org/obo/EUPATH_0000144",74
"http://purl.obolibrary.org/obo/EUPATH_0000302",47
"http://purl.obolibrary.org/obo/EUPATH_0000303",66
"http://purl.obolibrary.org/obo/EUPATH_0000304",156
"http://purl.obolibrary.org/obo/EUPATH_0000305",10
"http://purl.obolibrary.org/obo/EUPATH_0000306",24
"http://purl.obolibrary.org/obo/EUPATH_0000307",42
"http://purl.obolibrary.org/obo/EUPATH_0000308",98
"http://purl.obolibrary.org/obo/EUPATH_0000309",349
"http://purl.obolibrary.org/obo/EUPATH_0000310",44
"http://purl.obolibrary.org/obo/EUPATH_0000312",6
"http://purl.obolibrary.org/obo/EUPATH_0000321",52
"http://purl.obolibrary.org/obo/EUPATH_0000322",7
"http://purl.obolibrary.org/obo/EUPATH_0000323",10
"http://purl.obolibrary.org/obo/EUPATH_0000324",3
"http://purl.obolibrary.org/obo/EUPATH_0000325",2
"http://purl.obolibrary.org/obo/EUPATH_0000326",3
"http://purl.obolibrary.org/obo/EUPATH_0000327",64
"http://purl.obolibrary.org/obo/EUPATH_0000335",12
"http://purl.obolibrary.org/obo/EUPATH_0000340",50
"http://purl.obolibrary.org/obo/EUPATH_0000341",119
"http://purl.obolibrary.org/obo/EUPATH_0000342",18
"http://purl.obolibrary.org/obo/EUPATH_0000343",15
"http://purl.obolibrary.org/obo/EUPATH_0000344",8
"http://purl.obolibrary.org/obo/EUPATH_0000413",4
"http://purl.obolibrary.org/obo/EUPATH_0000423",6
"http://purl.obolibrary.org/obo/EUPATH_0000425",4
"http://purl.obolibrary.org/obo/EUPATH_0000427",28
"http://purl.obolibrary.org/obo/EUPATH_0000430",11
"http://purl.obolibrary.org/obo/EUPATH_0000431",4
"http://purl.obolibrary.org/obo/EUPATH_0000433",5
"http://purl.obolibrary.org/obo/EUPATH_0000437",3
"http://purl.obolibrary.org/obo/EUPATH_0000438",3
"http://purl.obolibrary.org/obo/EUPATH_0000439",9
"http://purl.obolibrary.org/obo/EUPATH_0000440",2
"http://purl.obolibrary.org/obo/EUPATH_0000441",5
"http://purl.obolibrary.org/obo/EUPATH_0000451",2
"http://purl.obolibrary.org/obo/EUPATH_0000596",29
"http://purl.obolibrary.org/obo/EUPATH_0000609",2284
"http://purl.obolibrary.org/obo/EUPATH_0000638",14
"http://purl.obolibrary.org/obo/EUPATH_0000649",106
"http://purl.obolibrary.org/obo/EUPATH_0000671",10
"http://purl.obolibrary.org/obo/EUPATH_0000678",21
"http://purl.obolibrary.org/obo/EUPATH_0000686",39
"http://purl.obolibrary.org/obo/EUPATH_0000724",703
"http://purl.obolibrary.org/obo/EUPATH_0000731",73
"http://purl.obolibrary.org/obo/EUPATH_0000738",2385
"http://purl.obolibrary.org/obo/EUPATH_0000740",9
"http://purl.obolibrary.org/obo/EUPATH_0010001",20
"http://purl.obolibrary.org/obo/EUPATH_0010002",6
"http://purl.obolibrary.org/obo/EUPATH_0010006",71
"http://purl.obolibrary.org/obo/EUPATH_0010008",29
"http://purl.obolibrary.org/obo/EUPATH_0010009",16
"http://purl.obolibrary.org/obo/EUPATH_0010010",6
"http://purl.obolibrary.org/obo/EUPATH_0010011",8
"http://purl.obolibrary.org/obo/EUPATH_0010012",4
"http://purl.obolibrary.org/obo/EUPATH_0010013",62
"http://purl.obolibrary.org/obo/EUPATH_0010014",10
"http://purl.obolibrary.org/obo/EUPATH_0010016",50
"http://purl.obolibrary.org/obo/EUPATH_0010024",19
"http://purl.obolibrary.org/obo/EUPATH_0010032",44
"http://purl.obolibrary.org/obo/EUPATH_0010035",107
"http://purl.obolibrary.org/obo/EUPATH_0010036",52
"http://purl.obolibrary.org/obo/EUPATH_0010037",46
"http://purl.obolibrary.org/obo/EUPATH_0010038",5
"http://purl.obolibrary.org/obo/EUPATH_0010039",58
"http://purl.obolibrary.org/obo/EUPATH_0010040",16
"http://purl.obolibrary.org/obo/EUPATH_0010108",22
"http://purl.obolibrary.org/obo/EUPATH_0010351",8
"http://purl.obolibrary.org/obo/EUPATH_0010356",23
"http://purl.obolibrary.org/obo/EUPATH_0010357",15
"http://purl.obolibrary.org/obo/EUPATH_0010378",9
"http://purl.obolibrary.org/obo/EUPATH_0010379",8
"http://purl.obolibrary.org/obo/EUPATH_0010380",10
"http://purl.obolibrary.org/obo/EUPATH_0010381",8
"http://purl.obolibrary.org/obo/EUPATH_0010383",19
"http://purl.obolibrary.org/obo/EUPATH_0010389",49
"http://purl.obolibrary.org/obo/EUPATH_0010390",27
"http://purl.obolibrary.org/obo/EUPATH_0010391",24
"http://purl.obolibrary.org/obo/EUPATH_0010393",5
"http://purl.obolibrary.org/obo/EUPATH_0010394",8
"http://purl.obolibrary.org/obo/EUPATH_0010395",5
"http://purl.obolibrary.org/obo/EUPATH_0010398",9
"http://purl.obolibrary.org/obo/EUPATH_0010399",3
"http://purl.obolibrary.org/obo/EUPATH_0010400",13
"http://purl.obolibrary.org/obo/EUPATH_0010401",8
"http://purl.obolibrary.org/obo/EUPATH_0010425",7
"http://purl.obolibrary.org/obo/EUPATH_0010947",95
"http://purl.obolibrary.org/obo/EUPATH_0010981",25
"http://purl.obolibrary.org/obo/EUPATH_0010983",255
"http://purl.obolibrary.org/obo/EUPATH_0010985",163
"http://purl.obolibrary.org/obo/EUPATH_0011191",5
"http://purl.obolibrary.org/obo/EUPATH_0011471",52
"http://purl.obolibrary.org/obo/EUPATH_0011472",35
"http://purl.obolibrary.org/obo/EUPATH_0011473",18
"http://purl.obolibrary.org/obo/EUPATH_0011480",8
"http://purl.obolibrary.org/obo/EUPATH_0011481",45
"http://purl.obolibrary.org/obo/EUPATH_0011482",29
"http://purl.obolibrary.org/obo/EUPATH_0011680",3
"http://purl.obolibrary.org/obo/EUPATH_0011683",17
"http://purl.obolibrary.org/obo/EUPATH_0011690",11
"http://purl.obolibrary.org/obo/EUPATH_0011708",4
"http://purl.obolibrary.org/obo/EUPATH_0011730",12
"http://purl.obolibrary.org/obo/EUPATH_0011732",61
"http://purl.obolibrary.org/obo/EUPATH_0011734",4
"http://purl.obolibrary.org/obo/EUPATH_0011739",3
"http://purl.obolibrary.org/obo/EUPATH_0011740",47
"http://purl.obolibrary.org/obo/EUPATH_0011743",11
"http://purl.obolibrary.org/obo/EUPATH_0011748",9
"http://purl.obolibrary.org/obo/EUPATH_0011750",12
"http://purl.obolibrary.org/obo/EUPATH_0011754",3
"http://purl.obolibrary.org/obo/EUPATH_0011756",10
"http://purl.obolibrary.org/obo/EUPATH_0011758",3
"http://purl.obolibrary.org/obo/EUPATH_0011759",3
"http://purl.obolibrary.org/obo/EUPATH_0011760",100
"http://purl.obolibrary.org/obo/EUPATH_0011761",13
"http://purl.obolibrary.org/obo/EUPATH_0011762",3
"http://purl.obolibrary.org/obo/EUPATH_0011763",6
"http://purl.obolibrary.org/obo/EUPATH_0011764",3
"http://purl.obolibrary.org/obo/EUPATH_0011765",5
"http://purl.obolibrary.org/obo/EUPATH_0011766",15
"http://purl.obolibrary.org/obo/EUPATH_0011767",6
"http://purl.obolibrary.org/obo/EUPATH_0011768",3
"http://purl.obolibrary.org/obo/EUPATH_0011769",9
"http://purl.obolibrary.org/obo/EUPATH_0011770",3
"http://purl.obolibrary.org/obo/EUPATH_0011771",3
"http://purl.obolibrary.org/obo/EUPATH_0011772",3
"http://purl.obolibrary.org/obo/EUPATH_0011773",13
"http://purl.obolibrary.org/obo/EUPATH_0011775",3
"http://purl.obolibrary.org/obo/EUPATH_0011776",4
"http://purl.obolibrary.org/obo/EUPATH_0011778",13
"http://purl.obolibrary.org/obo/EUPATH_0011780",14
"http://purl.obolibrary.org/obo/EUPATH_0011782",59
"http://purl.obolibrary.org/obo/EUPATH_0011783",4
"http://purl.obolibrary.org/obo/EUPATH_0011785",6
"http://purl.obolibrary.org/obo/EUPATH_0011787",3
"http://purl.obolibrary.org/obo/EUPATH_0011788",6
"http://purl.obolibrary.org/obo/EUPATH_0011789",3
"http://purl.obolibrary.org/obo/EUPATH_0011790",3
"http://purl.obolibrary.org/obo/EUPATH_0011791",3
"http://purl.obolibrary.org/obo/EUPATH_0011792",3
"http://purl.obolibrary.org/obo/EUPATH_0011793",3
