"entity","word","n","tf","idf","tf_idf"
"http://purl.bioontology.org/ontology/SNOMEDCT/224619008","migrant",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/CHEBI_3504","cefpodoxime",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/CHEBI_3547","cephradine",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/CHEBI_63609","mefloquine",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/DOID_0050486","rash",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/DOID_9993","hypoglycemia",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/DRON_00017034","ketotifen",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/DRON_00020551","ceevit",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/DRON_00022806","oxicone",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/DRON_00023558","theophylline",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/DRON_00026889","montelukast",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/DRON_00027939","tetrasol",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/DRON_00031432","fexofenadine",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/ENVO_01000588","sofa",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/EUPATH_0000424","nationality",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/EUPATH_0000452","region",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/EUPATH_0000667","deceased",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/EUPATH_0010981","demographics",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/EUPATH_0011196","hemolysis",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/EUPATH_0011644","legumes",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/EUPATH_0011708","schooling",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/EUPATH_0011743","vitamins",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/EUPATH_0011801","minerals",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/EUPATH_0015013","biogas",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/EUPATH_0015019","charcoal",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/EUPATH_0015025","sheep",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/EUPATH_0015027","cat",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/EUPATH_0015029","rodents",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/EUPATH_0015030","fowl",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/EUPATH_0015046","rainwater",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/EUPATH_0015119","undernutrition",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/EUPATH_0015266","certeza",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/EUPATH_0015267","aquatabs",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/EUPATH_0015268","aquaguard",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/EUPATH_0015269","waterguard",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/EUPATH_0015270","watermaker",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/EUPATH_0015271","pur",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/EUPATH_0015278","basin",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/EUPATH_0015280","ash",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/EUPATH_0015415","clay",1,1,8.67128672675364,8.67128672675364
"http://purl.obolibrary.org/obo/EUPATH_0021005","brick",1,1,8.67128672675364,8.67128672675364
