entity,word,n,tf,idf,tf_idf
http://purl.bioontology.org/ontology/SNOMEDCT/224619008,migrante,1,0.166666667,8.570544367,1.428424061
http://purl.bioontology.org/ontology/SNOMEDCT/224619008,participant,1,0.166666667,3.808370432,0.634728405
http://purl.bioontology.org/ontology/SNOMEDCT/224619008,05jul18z,1,0.166666667,3.213958092,0.535659682
http://purl.bioontology.org/ontology/SNOMEDCT/224619008,brazil,1,0.166666667,3.06115603,0.510192672
http://purl.bioontology.org/ontology/SNOMEDCT/224619008,icemr1,1,0.166666667,3.06115603,0.510192672
http://purl.bioontology.org/ontology/SNOMEDCT/224619008,st,1,0.166666667,2.266095564,0.377682594
http://purl.bioontology.org/ontology/SNOMEDCT/40541001,edema,1,0.166666667,7.877397186,1.312899531
http://purl.bioontology.org/ontology/SNOMEDCT/40541001,pulmonary,1,0.166666667,7.877397186,1.312899531
http://purl.bioontology.org/ontology/SNOMEDCT/40541001,manifestations,1,0.166666667,6.491102825,1.081850471
http://purl.bioontology.org/ontology/SNOMEDCT/40541001,rad,1,0.166666667,4.104636248,0.684106041
http://purl.bioontology.org/ontology/SNOMEDCT/40541001,chk,1,0.166666667,3.750262801,0.6250438
http://purl.bioontology.org/ontology/SNOMEDCT/40541001,1,1,0.166666667,3.586937745,0.597822958
http://purl.obolibrary.org/obo/APOLLO_SV_00000570,trabaj,1,1,8.570544367,8.570544367
http://purl.obolibrary.org/obo/BFO_0000015,dfseq,72,0.10041841,8.570544367,0.860640439
http://purl.obolibrary.org/obo/BFO_0000015,vstnum,69,0.09623431,8.570544367,0.82478042
http://purl.obolibrary.org/obo/BFO_0000015,visnum,32,0.044630404,8.570544367,0.382506862
http://purl.obolibrary.org/obo/BFO_0000015,bv,85,0.118549512,2.045514709,0.24249477
http://purl.obolibrary.org/obo/BFO_0000015,ext,87,0.121338912,1.961195124,0.237969283
http://purl.obolibrary.org/obo/BFO_0000015,lab,51,0.071129707,2.979557386,0.211935044
http://purl.obolibrary.org/obo/BFO_0000015,st,31,0.043235704,2.266095564,0.097976238
http://purl.obolibrary.org/obo/BFO_0000015,speclog,10,0.013947001,5.626105388,0.0784673
http://purl.obolibrary.org/obo/BFO_0000015,dfstudy,4,0.005578801,8.570544367,0.047813358
http://purl.obolibrary.org/obo/BFO_0000015,intervalname,4,0.005578801,8.570544367,0.047813358
http://purl.obolibrary.org/obo/BFO_0000015,passvisit,4,0.005578801,8.570544367,0.047813358
http://purl.obolibrary.org/obo/BFO_0000015,vnum,4,0.005578801,8.570544367,0.047813358
http://purl.obolibrary.org/obo/BFO_0000015,mgmt,7,0.009762901,3.600731067,0.035153581
http://purl.obolibrary.org/obo/BFO_0000015,project,4,0.005578801,4.720396765,0.026334152
http://purl.obolibrary.org/obo/BFO_0000015,mali,4,0.005578801,4.699343356,0.026216699
http://purl.obolibrary.org/obo/BFO_0000015,visitcode1,2,0.0027894,8.570544367,0.023906679
http://purl.obolibrary.org/obo/BFO_0000015,1,4,0.005578801,3.586937745,0.02001081
http://purl.obolibrary.org/obo/BFO_0000015,upd1,2,0.0027894,6.778784898,0.018908744
http://purl.obolibrary.org/obo/BFO_0000015,polsna,2,0.0027894,6.37331979,0.01777774
http://purl.obolibrary.org/obo/BFO_0000015,data,4,0.005578801,3.167866985,0.017672898
http://purl.obolibrary.org/obo/BFO_0000015,datasource,1,0.0013947,8.570544367,0.011953339
http://purl.obolibrary.org/obo/BFO_0000015,f104vn,1,0.0013947,8.570544367,0.011953339
http://purl.obolibrary.org/obo/BFO_0000015,f10vn,1,0.0013947,8.570544367,0.011953339
http://purl.obolibrary.org/obo/BFO_0000015,f14vn,1,0.0013947,8.570544367,0.011953339
http://purl.obolibrary.org/obo/BFO_0000015,f17vn,1,0.0013947,8.570544367,0.011953339
http://purl.obolibrary.org/obo/BFO_0000015,f18vn,1,0.0013947,8.570544367,0.011953339
http://purl.obolibrary.org/obo/BFO_0000015,f39vn,1,0.0013947,8.570544367,0.011953339
http://purl.obolibrary.org/obo/BFO_0000015,f40vn,1,0.0013947,8.570544367,0.011953339
http://purl.obolibrary.org/obo/BFO_0000015,f52vn,1,0.0013947,8.570544367,0.011953339
http://purl.obolibrary.org/obo/BFO_0000015,f53vn,1,0.0013947,8.570544367,0.011953339
http://purl.obolibrary.org/obo/BFO_0000015,f6vn,1,0.0013947,8.570544367,0.011953339
http://purl.obolibrary.org/obo/BFO_0000015,fanvn,1,0.0013947,8.570544367,0.011953339
http://purl.obolibrary.org/obo/BFO_0000015,flmvn,1,0.0013947,8.570544367,0.011953339
http://purl.obolibrary.org/obo/BFO_0000015,lmwk,1,0.0013947,8.570544367,0.011953339
http://purl.obolibrary.org/obo/BFO_0000015,sbvn,1,0.0013947,8.570544367,0.011953339
http://purl.obolibrary.org/obo/BFO_0000015,visitcode,1,0.0013947,8.570544367,0.011953339
http://purl.obolibrary.org/obo/BFO_0000015,event,1,0.0013947,7.877397186,0.010986607
http://purl.obolibrary.org/obo/BFO_0000015,redcap,1,0.0013947,7.877397186,0.010986607
http://purl.obolibrary.org/obo/BFO_0000015,visittype,1,0.0013947,7.877397186,0.010986607
http://purl.obolibrary.org/obo/BFO_0000015,2,2,0.0027894,3.916584017,0.010924921
http://purl.obolibrary.org/obo/BFO_0000015,x,3,0.0041841,2.57658294,0.010780682
http://purl.obolibrary.org/obo/BFO_0000015,227plate496,1,0.0013947,7.471932078,0.010421105
http://purl.obolibrary.org/obo/BFO_0000015,227plate497,1,0.0013947,7.471932078,0.010421105
http://purl.obolibrary.org/obo/BFO_0000015,227plate498,1,0.0013947,7.471932078,0.010421105
http://purl.obolibrary.org/obo/BFO_0000015,bm,1,0.0013947,7.471932078,0.010421105
http://purl.obolibrary.org/obo/BFO_0000015,crp,1,0.0013947,7.471932078,0.010421105
http://purl.obolibrary.org/obo/BFO_0000015,ctt,1,0.0013947,7.471932078,0.010421105
http://purl.obolibrary.org/obo/BFO_0000015,egf,1,0.0013947,7.471932078,0.010421105
http://purl.obolibrary.org/obo/BFO_0000015,endotox,1,0.0013947,7.471932078,0.010421105
http://purl.obolibrary.org/obo/BFO_0000015,f52,1,0.0013947,7.471932078,0.010421105
http://purl.obolibrary.org/obo/BFO_0000015,fer,1,0.0013947,7.471932078,0.010421105
http://purl.obolibrary.org/obo/BFO_0000015,lps,1,0.0013947,7.471932078,0.010421105
http://purl.obolibrary.org/obo/BFO_0000015,mfge8,1,0.0013947,7.471932078,0.010421105
http://purl.obolibrary.org/obo/BFO_0000015,rals,1,0.0013947,7.471932078,0.010421105
http://purl.obolibrary.org/obo/BFO_0000015,rbmiga,1,0.0013947,7.471932078,0.010421105
http://purl.obolibrary.org/obo/BFO_0000015,rbp,1,0.0013947,7.471932078,0.010421105
http://purl.obolibrary.org/obo/BFO_0000015,rpligg,1,0.0013947,7.471932078,0.010421105
http://purl.obolibrary.org/obo/BFO_0000015,scd14,1,0.0013947,7.471932078,0.010421105
http://purl.obolibrary.org/obo/BFO_0000015,vitd,1,0.0013947,7.471932078,0.010421105
http://purl.obolibrary.org/obo/BFO_0000015,126plate499,1,0.0013947,7.184250006,0.010019874
http://purl.obolibrary.org/obo/BFO_0000015,226plate499,1,0.0013947,7.184250006,0.010019874
http://purl.obolibrary.org/obo/BFO_0000015,act,1,0.0013947,7.184250006,0.010019874
http://purl.obolibrary.org/obo/BFO_0000015,calp,1,0.0013947,7.184250006,0.010019874
http://purl.obolibrary.org/obo/BFO_0000015,cmvrt,1,0.0013947,7.184250006,0.010019874
http://purl.obolibrary.org/obo/BFO_0000015,f14,1,0.0013947,7.184250006,0.010019874
http://purl.obolibrary.org/obo/BFO_0000015,fcs,1,0.0013947,7.184250006,0.010019874
http://purl.obolibrary.org/obo/BFO_0000015,ib,1,0.0013947,7.184250006,0.010019874
http://purl.obolibrary.org/obo/BFO_0000015,iu,1,0.0013947,7.184250006,0.010019874
http://purl.obolibrary.org/obo/BFO_0000015,mb,1,0.0013947,7.184250006,0.010019874
http://purl.obolibrary.org/obo/BFO_0000015,neb,1,0.0013947,7.184250006,0.010019874
http://purl.obolibrary.org/obo/BFO_0000015,neop,1,0.0013947,7.184250006,0.010019874
http://purl.obolibrary.org/obo/BFO_0000015,ps1,1,0.0013947,7.184250006,0.010019874
http://purl.obolibrary.org/obo/BFO_0000015,reg1b,1,0.0013947,7.184250006,0.010019874
http://purl.obolibrary.org/obo/BFO_0000015,rpliga,1,0.0013947,7.184250006,0.010019874
http://purl.obolibrary.org/obo/BFO_0000015,rss,1,0.0013947,7.184250006,0.010019874
http://purl.obolibrary.org/obo/BFO_0000015,126plate004,1,0.0013947,6.961106454,0.009708656
http://purl.obolibrary.org/obo/BFO_0000015,126plate305,1,0.0013947,6.961106454,0.009708656
http://purl.obolibrary.org/obo/BFO_0000015,126plate315,1,0.0013947,6.961106454,0.009708656
http://purl.obolibrary.org/obo/BFO_0000015,227plate006,1,0.0013947,6.961106454,0.009708656
http://purl.obolibrary.org/obo/BFO_0000015,cs,1,0.0013947,6.961106454,0.009708656
http://purl.obolibrary.org/obo/BFO_0000015,ds,1,0.0013947,6.961106454,0.009708656
http://purl.obolibrary.org/obo/BFO_0000015,dsgene,1,0.0013947,6.961106454,0.009708656
http://purl.obolibrary.org/obo/BFO_0000015,f39,1,0.0013947,6.961106454,0.009708656
http://purl.obolibrary.org/obo/BFO_0000015,f53,1,0.0013947,6.961106454,0.009708656
http://purl.obolibrary.org/obo/BFO_0000015,infant,1,0.0013947,6.961106454,0.009708656
http://purl.obolibrary.org/obo/BFO_0000015,is,1,0.0013947,6.961106454,0.009708656
http://purl.obolibrary.org/obo/BFO_0000015,pals,1,0.0013947,6.961106454,0.009708656
http://purl.obolibrary.org/obo/BFO_0000015,polcul,1,0.0013947,6.961106454,0.009708656
http://purl.obolibrary.org/obo/BFO_0000015,rotavs,1,0.0013947,6.961106454,0.009708656
http://purl.obolibrary.org/obo/BFO_0000015,f10,1,0.0013947,6.778784898,0.009454372
