word,n
the,7667
of,7058
to,3732
for,3526
in,2972
stool,2512
and,2445
age,2344
by,2268
months,2224
at,2100
no,1870
samples,1870
was,1739
yes,1708
or,1668
collected,1639
on,1591
diarrheal,1233
were,1220
with,1199
first,1186
if,1179
monthly,1161
not,1132
from,1105
ext,1061
participant,1054
bv,996
24,991
assessed,970
episode,964
value,950
positive,929
diarrhea,909
date,896
child,846
day,833
stools,823
has,819
days,809
st,804
pcr,793
other,784
source,779
number,770
last,742
household,737
up,734
is,732
36,729
as,712
ct,703
result,687
sample,686
this,656
hh,651
health,647
most,641
only,639
calculated,613
data,598
cumulative,596
you,592
blood,568
your,562
during,558
abundant,553
weeks,553
histogram,552
sum,550
all,541
12,538
any,535
culture,532
before,530
tac,530
values,529
per,522
each,518
asymptomatic,516
na,513
performed,510
detection,507
that,503
lab,493
selected,486
15,481
10,474
pathogens,460
test,459
whether,457
missing,456
are,444
ml,444
care,442
children,442
end,441
enteric,425
been,414
qpcr,414
many,413
f7,408
twice,402
score,400
did,396
have,395
f4a,394
micro,393
what,392
loose,391
malaria,388
18,387
center,387
count,387
negative,384
35,382
study,374
work,374
least,372
water,369
21,367
extension,367
target,363
information,361
multiplexed,361
numeric,361
had,354
illness,354
visit,353
enrollment,351
microscopy,350
f4b,346
when,344
displayed,342
time,336
collection,325
final,324
years,322
single,319
vaccine,317
second,314
type,314
where,313
over,312
possible,311
complete,309
after,307
change,307
induced,305
treatment,305
pos,303
produced,303
whenever,301
visits,300
who,300
additional,299
survey,297
until,293
total,289
food,288
month,288
than,286
unique,283
do,282
bc,281
database,281
plot,281
year,280
sputum,279
house,277
settings,277
axis,276
clinepidb,276
display,276
occurrences,276
truncated,276
update,276
website,276
option,275
know,272
week,266
surveillance,260
60,258
how,258
1st,257
based,256
brazil,254
rotavirus,253
elisa,247
icemr1,247
following,246
expenses,241
since,238
coli,235
variable,232
used,231
testing,229
weight,229
hospital,228
dose,227
public,223
continuous,222
observation,220
use,220
bacteriology,215
mothers,214
05jul18z,212
unknown,212
an,203
home,201
reported,201
bednet,198
available,197
given,197
recall,197
species,197
cum,196
don't,192
code,188
answer,186
past,186
detected,185
does,183
symptoms,181
within,181
there,179
more,178
dt,177
pid,177
facility,176
copies,175
fever,175
defined,174
specify,174
every,172
f5,172
chk,169
none,164
titer,164
quantity,163
seek,162
mgmt,159
urine,159
00m,156
received,155
status,155
14,154
member,154
12m,150
duration,150
18m,149
endline,149
etec,149
height,148
present,146
anthro,145
timepoint,145
06m,143
antibiotic,142
female,142
serotype,142
30,141
history,140
midline,140
intervention,139
5,138
104,138
less,138
results,138
identified,137
outcome,137
polio,137
quantitative,137
basis,136
done,136
doses,136
mother,136
delivery,135
