"word","n"
"of",2179
"the",2135
"in",1100
"for",980
"if",701
"source",630
"1",617
"calculated",583
"or",578
"diarrhea",570
"to",553
"you",549
"child",531
"your",528
"a",508
"is",487
"positive",463
"from",431
"number",421
"health",417
"pcr",387
"2",384
"stool",365
"care",362
"and",353
"what",353
"yes",330
"last",322
"at",317
"household",317
"other",312
"did",309
"have",302
"was",300
"any",297
"first",283
"only",274
"samples",268
"that",268
"0",255
"no",252
"days",250
"culture",244
"do",244
"by",239
"date",227
"following",225
"are",224
"center",223
"numeric",222
"continuous",221
"induced",220
"complete",210
"not",209
"sputum",208
"how",204
"malaria",204
"this",204
"illness",201
"who",198
"had",196
"3",190
"episode",184
"ml",178
"age",172
"cumulative",172
"day",172
"count",170
"expenses",170
"use",167
"where",167
"blood",165
"weeks",164
"with",160
"pid",158
"children",154
"score",154
"collected",148
"stools",148
"information",143
"treatment",141
"value",141
"has",139
"all",138
"answer",137
"ct",136
"monthly",136
"house",134
"multifilter",133
"does",132
"quantity",132
"water",123
"5",122
"during",122
"study",120
"np",119
"result",118
"hospital",117
"type",117
"were",117
"past",115
"on",114
"4",113
"facility",110
"when",109
"many",108
"there",108
"used",107
"time",106
"7",105
"weight",105
"home",104
"sample",104
"total",103
"variable",102
"each",101
"given",101
"outcome",101
"font",100
"after",99
"specify",99
"diarrheal",98
"know",97
"visit",97
"before",96
"wave",95
"code",93
"out",91
"sum",88
"z",86
"reported",84
"copies",82
"female",82
"vaccine",82
"e29",80
"estimated",80
"utilization",80
"pocket",79
"6",78
"gram",77
"choice",76
"f",76
"month",76
"rehyd",76
"standardized",76
"as",73
"go",73
"data",71
"e31",71
"duration",70
"height",70
"part",70
"detected",69
"received",69
"sought",69
"months",68
"b",67
"food",67
"symptoms",67
"child's",66
"facilities",65
"results",65
"testing",65
"local",64
"select",64
"collection",63
"confirmed",63
"pg",63
"respondent",63
"than",63
"apply",62
"derived",62
"enrollment",62
"fluid",62
"polio",62
"since",62
"skip",62
"species",62
"seek",61
"those",61
"using",61
"which",61
"would",61
"fever",60
"i",60
"antibiotic",59
"currency",59
"net",59
"per",59
"rotavirus",59
"specific",59
"village",59
"conc",58
"years",58
"01",57
"be",57
"whether",57
"attitudes",56
"color",56
"outside",56
"s",56
"an",55
"doctor",55
"identified",55
"reason",55
"required",55
"bacteria",54
"expense",54
"id",54
"provde",54
"strain",53
"median",52
"medicine",52
"test",52
"10",51
"la",51
"blue",50
"variables",50
"about",49
"aspirate",49
"participant",49
"physical",49
"recall",49
"within",49
"findings",48
"flag",48
"moa",48
"week",48
"bed",47
"length",47
"specimen",47
"30",46
"it",46
"pleural",46
"receiving",46
"two",46
"urine",46
"drinking",45
"lung",45
"practitioner",45
"animal",44
"fuel",44
"g",44
"name",44
"salmonella",44
"dose",43
"head",43
"up",43
"12",42
"night",42
"8",41
"pf",41
"drug",40
"shigella",40
"titer",40
"usually",40
"caregiver",39
"don't",39
"leaving",39
"none",39
"saf",39
"status",39
"vomiting",39
"case",38
"foods",38
"milk",38
"mother",38
"one",38
"year",38
"00",37
"available",37
"birth",37
"bmi",37
"fse",37
"mg",37
"muac",37
"negative",37
"school",37
"arm",36
"cooking",36
"ever",36
"follow",36
"il",36
"level",36
"loose",36
"more",36
"mosquito",36
"observed",36
"perception",36
"02",35
"into",35
"1st",34
"defined",34
"dwelling",34
"medicines",34
"24",33
"been",33
"breastfeeding",33
"dataset",33
"isolated",33
"main",33
"most",33
"parents",33
"prevent",33
"prior",33
"serotype",33
"03",32
"2nd",32
"adenovirus",32
"alri",32
"he",32
"kodi",32
"prescription",32
"present",32
"see",32
"she",32
"whole",32
"14",31
"c",31
"currently",31
"e",31
"flu",31
"index",31
"place",31
"ppm",31
"sleep",31
"consumption",30
"corresponding",30
"get",30
"hosp",30
"labtest",30
"less",30
"material",30
"skin",30
"srf",30
"watery",30
"check",29
"coli",29
"form",29
"identification",29
"nrv",29
"sabin",29
"start",29
"streptococcus",29
"under",29
"vibrio",29
"addl",28
"antibiotics",28
"average",28
"cm",28
"come",28
"diagnosis",28
"doses",28
"live",28
"min",28
"ndi",28
"need",28
"non",28
"oral",28
"severe",28
"sleeping",28
"st",28
"these",28
"traditional",28
"window",28
"excluding",27
"infection",27
"itn",27
"l",27
"meat",27
"money",27
"much",27
"prescribed",27
"section",27
"sources",27
"well",27
"area",26
"compound",26
"enter",26
"group",26
"healer",26
"members",26
"morphological",26
"old",26
"pathogens",26
"presence",26
"receive",26
"sid",26
"take",26
"treat",26
"3rd",25
"based",25
"circumference",25
"coded",25
"current",25
"elisa",25
"her",25
"medication",25
"na",25
"obtained",25
"times",25
"verified",25
"virus",25
"bvc",24
"death",24
"density",24
"haemophilus",24
"history",24
"hours",24
"latrine",24
"least",24
"maternal",24
"observation",24
"original",24
"parasite",24
"parasites",24
"rectal",24
"set",24
"why",24
"15",23
"4hrs",23
"amene",23
"analysis",23
"bednet",23
"campylobacter",23
"clinic",23
"community",23
"cough",23
"final",23
"floor",23
"heart",23
"iron",23
"market",23
"medications",23
"pentavalent",23
"pharmacy",23
"rate",23
"report",23
"shop",23
"travel",23
"without",23
"abdomen",22
"ask",22
"dpt",22
"hemoglobin",22
"hospitalization",22
"ht",22
"illnessfull.csv",22
"mean",22
"measured",22
"member",22
"mosquitoes",22
"people",22
"primary",22
"thorax",22
"above",21
"adjtfr",21
"bp",21
"bush",21
"comment",21
"dehydration",21
"eggs",21
"epec",21
"episodes",21
"experienced",21
"general",21
"hrs",21
"inactivated",21
"maximum",21
"method",21
"norovirus",21
"organism",21
"please",21
"smear",21
"target",21
"temperature",21
"treated",21
"trip",21
"wbc",21
"zinc",21
"advice",20
"began",20
"breastfed",20
"eat",20
"feeding",20
"flexneri",20
"fsq",20
"lm",20
"make",20
"medical",20
"new",20
"private",20
"raw",20
"tests",20
"causes",19
"diet",19
"friend",19
"hib",19
"hx",19
"male",19
"now",19
"often",19
"pain",19
"q10",19
"relationship",19
"room",19
"severity",19
"toilet",19
"transportation",19
"tube",19
"9",18
"activity",18
"anopheles",18
"catarrhalis",18
"disease",18
"frequency",18
"hands",18
"his",18
"indicate",18
"missing",18
"o2",18
"occupation",18
"own",18
"rdt",18
"relative",18
"respiratory",18
"rooms",18
"sometimes",18
"symptom",18
"yard",18
"100",17
"acid",17
"activities",17
"admission",17
"against",17
"assessment",17
"category",17
"characteristics",17
"collapsed",17
"country",17
"drugs",17
"e31.12",17
"enrolled",17
"growth",17
"long",17
"lt",17
"moraxella",17
"n",17
"q2",17
"recollection",17
"record",17
"rehydration",17
"right",17
"sentinel",17
"some",17
"sprayed",17
"they",17
"unlicensed",17
"_zac",16
"04",16
"2.9",16
"ae",16
"aeromonas",16
"bdf",16
"between",16
"brf",16
"change",16
"control",16
"cryptosporidium",16
"drink",16
"dx",16
"enterobacter",16
"even",16
"frq",16
"gi",16
"giardia",16
"h57",16
"illnesses",16
"indicator",16
"kg",16
"meas",16
"motor",16
"ongoing",16
"otherwise",16
"over",16
"placed",16
"pseudomonas",16
"q18",16
"radio",16
"recent",16
"recorded",16
"self",16
"separated",16
"slept",16
"surveillance",16
"survey",16
"today",16
"windows",16
