"word","n"
"by",1100
"in",511
"result",493
"qpcr",374
"multiplexed",350
"or",268
"value",231
"stools",230
"ct",224
"cumulative",209
"culture",195
"other",194
"sum",192
"count",189
"1st",175
"days",162
"stool",159
"date",156
"for",153
"at",143
"last",139
"diarrheal",134
"bacteriology",130
"blood",130
"to",129
"2",126
"health",122
"vaccine",122
"microscopy",109
"of",108
"and",106
"collection",102
"malaria",98
"diarrhea",97
"tac",92
"center",90
"plasmodium",90
"monthly",84
"data",83
"serotype",82
"with",78
"time",77
"copies/ml",75
"treatment",75
"type",74
"streptococcus",73
"elisa",72
"sample",72
"3",71
"expenses",71
"haemophilus",70
"poliovirus",70
"total",70
"any",69
"per",69
"before",66
"medication",65
"pneumoniae",65
"pg/ml",64
"household",63
"sputum",63
"condition",62
"induced",62
"pcr",61
"water",60
"1",59
"rotavirus",58
"test",58
"the",57
"aggregate",56
"aspirate",56
"duration",55
"episode",54
"z-score",54
"choice",52
"not",52
"score",52
"bednet",49
"%",47
"a",47
"antibiotic",47
"caregiver",47
"fluid",47
"hospital",47
"virus",47
"acid",46
"care",46
"enrollment",46
"months",46
"age",45
"anopheles",45
"influenzae",45
"min",43
"source",43
"study",42
"titer",42
"visit",42
"child",41
"mean",41
"pertussis",41
"start",41
"bacteria",40
"daily",40
"fever",40
"parainfluenza",40
"reason",40
"day",39
"human",39
"pleural",39
"report",39
"b",38
"lung",38
"nasopharyngeal/oropharyngeal",38
"swabs",38
"antimalarial",37
"since",37
"2nd",36
"catarrhalis",36
"from",36
"interleukin",36
"raw",36
"7",35
"categorization",35
"code",35
"month",35
"pathogen",35
"qrt-pcr",35
"weeks",35
"5",34
"doses",34
"during",34
"illness",34
"maternal",34
"performed",34
"tetanus",34
"than",34
"urine",34
"diagnosis",33
"dose",33
"salmonella",33
"3rd",32
"adjusted",32
"etec",32
"facility",32
"influenza",32
"respiratory",32
"shigella",32
"ex",31
"food",31
"species",31
"6",30
"collected",30
"polio",30
"ppm",30
"sleeping",30
"id",29
"location",29
"moraxella",29
"staphylococcus",29
"years",29
"coronoavirus",28
"drinking",28
"norovirus",28
"participant",28
"#",27
"coli",27
"group",27
"itn",27
"4",26
"children",26
"cm",26
"compound",26
"diphtheria",26
"genotype",26
"head",26
"know",26
"meat",26
"oral",26
"severe",26
"status",26
"syrup",26
"administered",25
"hospitalization",25
"medicine",25
"mg",25
"verified",25
"vomiting",25
"median",24
"observation",24
"past",24
"unknown",24
"birth",23
"dwelling",23
"end",23
"follow-up",23
"no",23
"nrv",23
"symptoms",23
"treated",23
"within",23
"a/b",22
"area",22
"dengue",22
"escherichia",22
"occupation",22
"tube",22
"weight",22
"above",21
"adenovirus",21
"administration",21
"after",21
"don't",21
"flexneri",21
"frequency",21
"home",21
"milk",21
"rehydration",21
"below",20
"cough",20
"cytomegalovirus",20
"entamoeba",20
"length",20
"material",20
"pain",20
"prior",20
"year",20
"12",19
"c",19
"case",19
"epec",19
"height",19
"most",19
"opv",19
"outside",19
"rdt",19
"reported",19
"skin",19
"target",19
"under",19
"vibrio",19
"branhamella",18
"enterobacter",18
"eyes",18
"factor",18
"inactivated",18
"ipv",18
"latrine",18
"less",18
"name",18
"tested",18
"toilet",18
"traditional",18
"using",18
"aureus",17
"episodes",17
"falciparum",17
"level",17
"measles",17
"method",17
"number",17
"organism",17
"pneumocystis",17
"school",17
"testing",17
"vaccination",17
"zinc",17
"14",16
"alri",16
"assessment",16
"breastfed",16
"completed",16
"igg",16
"legionella",16
"on",16
"prescribed",16
"protein",16
"protocol",16
"smear",16
"state",16
"use",16
"village",16
"visited",16
"vitamin",16
"adverse",15
"bed",15
"change",15
"community",15
"completely",15
"dpt/pentavalent",15
"eaec",15
"floor",15
"g",15
"hand",15
"klebsiella",15
"log2",15
"microneutralization",15
"parasite",15
"parasites",15
"persons",15
"previously",15
"pseudomonas",15
"recent",15
"rt-pcr",15
"schistosoma",15
"vesikari",15
"washing",15
"window",15
"acinetobacter",14
"antibodies",14
"bordetella",14
"campylobacter",14
"compound's",14
"coronavirus",14
"doctor",14
"endotracheal",14
"eukaryota",14
"event",14
"excreted",14
"giardia",14
"is",14
"it",14
"lt-pos",14
"mycoplasma",14
"nose",14
"process",14
"quantity",14
"transport",14
"ul",14
"vivax",14
"all",13
"anemia",13
"animal",13
"ascaris",13
"breathing",13
"candida",13
"chlamydophila",13
"cholerae",13
"enough",13
"first",13
"l:m",13
"lost",13
"medical",13
"more",13
"observed",13
"open",13
"room",13
"well",13
"30",12
"aaic-pos",12
"aata-pos",12
"allele",12
"amount",12
"breast",12
"concomitant",12
"cryptosporidium",12
"drug",12
"education",12
"ever",12
"feeding",12
"healer",12
"hymenolepis",12
"igm",12
"infection",12
"irs",12
"jiroveci",12
"kg",12
"lactulose",12
"mg/dl",12
"mosquito",12
"previous",12
"rpm",12
"shed",12
"survey",12
"syncytial",12
"throat",12
"60",11
"analysis",11
"between",11
"bocavirus",11
"breastfeeding",11
"cell",11
"clinic",11
"clostridium",11
"draw",11
