"word","n"
"by",1100
"in",511
"result",493
"qpcr",374
"multiplexed",350
"or",268
"value",231
"stools",230
"ct",224
"pos",213
"cumulative",209
"for",204
"culture",196
"other",194
"sum",192
"count",189
"ml",179
"1st",175
"days",164
"stool",159
"date",156
"at",143
"last",139
"diarrheal",134
"to",133
"bacteriology",130
"blood",130
"2",129
"health",124
"vaccine",123
"pcr",113
"microscopy",109
"of",108
"and",106
"score",106
"malaria",103
"collection",102
"diarrhea",98
"center",93
"plasmodium",92
"tac",92
"age",89
"monthly",84
"data",83
"3",82
"serotype",82
"with",78
"a",77
"copies",77
"time",77
"treatment",75
"type",74
"streptococcus",73
"b",72
"elisa",72
"sample",72
"expenses",71
"haemophilus",70
"poliovirus",70
"total",70
"any",69
"per",69
"1",67
"before",66
"medication",65
"pneumoniae",65
"pg",64
"rotavirus",64
"household",63
"induced",63
"sputum",63
"condition",62
"water",60
"test",58
"the",57
"aggregate",56
"aspirate",56
"duration",55
"episode",54
"not",54
"z",54
"choice",52
"hospital",52
"5",50
"bednet",49
"acid",48
"antibiotic",47
"caregiver",47
"enrollment",47
"fluid",47
"virus",47
"anopheles",46
"care",46
"influenzae",46
"min",46
"months",46
"study",44
"weight",44
"source",43
"mg",42
"nasopharyngeal",42
"titer",42
"visit",42
"6",41
"child",41
"day",41
"mean",41
"pertussis",41
"start",41
"bacteria",40
"daily",40
"fever",40
"height",40
"parainfluenza",40
"reason",40
"human",39
"oropharyngeal",39
"pleural",39
"report",39
"lung",38
"swabs",38
"7",37
"antimalarial",37
"since",37
"2nd",36
"catarrhalis",36
"from",36
"interleukin",36
"raw",36
"salmonella",36
"categorization",35
"code",35
"etec",35
"month",35
"pathogen",35
"qrt",35
"shigella",35
"weeks",35
"doses",34
"during",34
"illness",34
"length",34
"maternal",34
"performed",34
"tetanus",34
"than",34
"treated",34
"urine",34
"coli",33
"diagnosis",33
"dose",33
"facility",33
"3rd",32
"adjusted",32
"influenza",32
"respiratory",32
"4",31
"dl",31
"ex",31
"food",31
"norovirus",31
"species",31
"collected",30
"polio",30
"ppm",30
"severe",30
"sleeping",30
"id",29
"location",29
"moraxella",29
"staphylococcus",29
"years",29
"coronoavirus",28
"drinking",28
"participant",28
"children",27
"group",27
"itn",27
"cm",26
"compound",26
"diphtheria",26
"genotype",26
"head",26
"know",26
"meat",26
"oral",26
"status",26
"syrup",26
"administered",25
"dpt",25
"epec",25
"follow",25
"hospitalization",25
"medicine",25
"no",25
"up",25
"verified",25
"vomiting",25
"adenovirus",24
"l",24
"median",24
"non",24
"observation",24
"past",24
"unknown",24
"birth",23
"dwelling",23
"end",23
"g",23
"level",23
"nrv",23
"symptoms",23
"within",23
"area",22
"dengue",22
"escherichia",22
"occupation",22
"school",22
"tube",22
"vibrio",22
"12",21
"above",21
"administration",21
"after",21
"c",21
"case",21
"don't",21
"flexneri",21
"frequency",21
"gram",21
"home",21
"milk",21
"negative",21
"pain",21
"rehydration",21
"ul",21
"below",20
"campylobacter",20
"cough",20
"cytomegalovirus",20
"entamoeba",20
"less",20
"material",20
"prior",20
"year",20
"latrine",19
"most",19
"opv",19
"outside",19
"rdt",19
"reported",19
"skin",19
"target",19
"toilet",19
"under",19
"branhamella",18
"breastfed",18
"cryptosporidium",18
"eaec",18
"enterobacter",18
"eyes",18
"factor",18
"inactivated",18
"ipv",18
"name",18
"neg",18
"schistosoma",18
"st",18
"tested",18
"traditional",18
"using",18
"village",18
"aureus",17
"doctor",17
"enterovirus",17
"episodes",17
"falciparum",17
"giardia",17
"measles",17
"method",17
"muac",17
"number",17
"organism",17
"pentavalent",17
"pneumocystis",17
"testing",17
"vaccination",17
"zinc",17
"14",16
"alri",16
"assessment",16
"completed",16
"igg",16
"legionella",16
"lt",16
"on",16
"prescribed",16
"protein",16
"protocol",16
"smear",16
"state",16
"use",16
"visited",16
"vitamin",16
"watery",16
"aaic",15
"aata",15
"adverse",15
"bed",15
"change",15
"community",15
"completely",15
"floor",15
"hand",15
"klebsiella",15
"log2",15
"loose",15
"microneutralization",15
"parasite",15
"parasites",15
"persons",15
"previously",15
"pseudomonas",15
"recent",15
"rt",15
"ug",15
"vesikari",15
"washing",15
"window",15
"acinetobacter",14
"animal",14
"antibodies",14
"bordetella",14
"cluster",14
"compound's",14
"coronavirus",14
"eae",14
"endotracheal",14
"eukaryota",14
"event",14
"excreted",14
"is",14
"it",14
"loss",14
"mycoplasma",14
"nose",14
"process",14
"quantity",14
"transport",14
"vivax",14
"all",13
"alpha",13
"anemia",13
"ascaris",13
"breathing",13
"candida",13
"chlamydophila",13
"cholerae",13
"drug",13
"enough",13
"first",13
"histolytica",13
"iu",13
"kg",13
"l:m",13
"lost",13
"medical",13
"more",13
"observed",13
"open",13
"room",13
"well",13
"30",12
"aeromonas",12
"allele",12
"amount",12
"as",12
"astrovirus",12
"bfpa",12
"breast",12
"coma",12
"concomitant",12
"education",12
"ever",12
"feeding",12
"healer",12
"hla",12
"hymenolepis",12
"igm",12
"infection",12
"irs",12
