"word","n"
"ext",1061
"bv",996
"st",723
"hh",648
"lab",453
"f7",408
"x",404
"f4a",394
"micro",392
"3",380
"f4b",346
"final",282
"bc",281
"database",280
"data",278
"tac",275
"brazil",247
"icemr1",247
"05jul18z",212
"1",206
"mothers",198
"cum",196
"public",194
"f5",171
"chk",169
"dt",162
"mgmt",159
"00m",156
"12m",150
"18m",149
"06m",143
"anthro",142
"med",133
"2",128
"cmnt",124
"date",122
"water",121
"05",120
"2020",120
"27",120
"ct",120
"trt",118
"participant",117
"exam",115
"nppcr",107
"delivery",106
"heent",104
"survey",103
"observation",102
"member",99
"rad",98
"chld",97
"m",95
"mal",95
"dose",93
"house",93
"ispcr",93
"all",92
"household",91
"bc3",89
"dh",89
"method",85
"seek",84
"drh",83
"end",83
"examcmnt",83
"other",83
"ptreat",83
"timepoint",82
"bednet",81
"illnessfull",81
"enrollment",80
"mc",80
"60m",79
"updated",79
"wi",77
"d",75
"sqty",75
"lapcr",73
"ses",73
"dfseq",72
"pfpcr",71
"diar",70
"mali",70
"project",69
"score",69
"tacd",69
"vstnum",69
"1623",68
"malariabehaviorindiv",68
"visits",67
"4",66
"blood",66
"enrol",65
"diet",64
"fuel",64
"8sites",63
"dh2",63
"diet5y",63
"f11",61
"iscx",61
"f",59
"iscxg",59
"endline",58
"midline",58
"muac",58
"dataset",57
"mapping",57
"otherhx",57
"specdt",57
"vax",57
"iscxq",56
"pulresp",56
"whocoreallsites",56
"gastrohep",55
"symptoms",55
"ani",53
"no",53
"pres",52
"etec",50
"rehyd",50
"skinderm",49
"specify",49
"f3",48
"time",48
"wt",48
"anti",47
"fu",47
"visitdate",47
"1622",46
"abdom",46
"fever",46
"give",46
"malariabehaviorhouse",46
"pneu",46
"speclog",46
"total",46
"neuro",45
"pulm",45
"musc",44
"pastyear",44
"5",43
"and",43
"mn",43
"mv",43
"titer",43
"wdates",43
"0",42
"eos",42
"genitorenal",42
"para",42
"treat",42
"age",41
"child",41
"othr",41
"rotavirus",41
"uptake",41
"wami",41
"5y",40
"cardio",40
"cor",40
"last",40
"sbo",40
"weight",40
"meds",39
"trap",39
"whz",39
"yn",39
"a",38
"cardiac",38
"hemoglobin",38
"othhx",38
"shig",38
"temp",38
"dk",37
"hc",37
"lmz",37
"rdt",37
"b",36
"cen",36
"find",36
"hcid",36
"month",36
"sleep",36
"05jul18",35
"base",35
"out",34
"why",34
"expanded",33
"hemlymph",33
"result",33
"126plate301",32
"126plate312",32
"species",32
"type",32
"visnum",32
"126plate021",31
"126plate400",31
"exp",31
"flu",31
"mib",31
"126plate311",30
"126plate411",30
"126plate412",30
"226plate200",30
"226plate210",30
"226plate220",30
"227plate004",30
"7",30
"ala",30
"bmiz",30
"c",30
"hometrt",30
"pcr",30
"wash",30
"cytbm",29
"f16",29
"mpo",29
"psych",29
"rwanda",29
"126plate035",28
"6",28
"agez",28
"bml",28
"burundi",28
"endmetab",28
"flag",28
"river",28
"126plate002",27
"126plate302",27
"227plate005",27
"asset",27
"crf1",27
"ddep",27
"226plate005",26
"226plate013",26
"226plate043",26
"226plate053",26
"226plate083",26
"bf2",26
"ctr1",26
"ctr2",26
"ctr3",26
"itn",26
"rearrangedvax",26
"source",26
"syp",26
"126plate032",25
"126plate036",25
"126plate051",25
"226plate004",25
"226plate012",25
"226plate052",25
"bcx",25
"outcome",25
"waz",25
"126plate031",24
"126plate090",24
"226plate003",24
"226plate113",24
"aggregatedvax",24
"cur",24
"dia",24
"diag",24
"eaec",24
"f6",24
"fci",24
"neo",24
"travel",24
"zscores",24
"126plate091",23
"226plate082",23
"226plate112",23
"226plate152",23
"diastolicbp",23
"dosenum",23
"genappear",23
"hackett",23
"hinf",23
"othexamcmnt",23
"systolicbp",23
"126plate037",22
"126plate052",22
"126plate313",22
"126plate401",22
"126plate413",22
"226plate114",22
"226plate153",22
"226plate212",22
"crf9",22
"126plate003",21
"126plate022",21
"126plate053",21
"126plate303",21
"126plate402",21
"226plate022",21
"226plate102",21
"226plate201",21
"226plate221",21
"avail",21
"cup",21
"dsmicr",21
"f15",21
"f17",21
"haz",21
"nonrv",21
"of",21
"oth",21
"othexam",21
"rto2",21
"126plate023",20
"126plate033",20
"126plate092",20
"226plate042",20
"226plate054",20
"226plate084",20
"226plate211",20
"bsc",20
"days",20
"f104",20
"f16corr",20
"parasitedensity",20
"spectype",20
"trnsprt",20
"visit",20
"226plate032",19
"cytcp",19
"cytmp",19
"dengue",19
"enm",19
"home",19
"name",19
"pid",19
"radio",19
"rota",19
"sum",19
"227plate007",18
"8",18
"9",18
"adeno",18
"agedays",18
"code",18
"gender",18
"mcat",18
"prevent",18
"whocore",18
"226plate111",17
"bmi",17
"causes",17
"cmv",17
"dpt3",17
"elec",17
"muarmcircum",17
"net",17
"none",17
"saur",17
"signsmal",17
"unknown",17
"vomit",17
"226plate080",16
"226plate100",16
"226plate110",16
"2wk",16
"bloodpaper",16
"car",16
"colprick",16
"doc",16
"drugs",16
"fin",16
"fsq",16
"id",16
"num",16
"opv1",16
"opv2",16
"opv3",16
"roof",16
"rxed",16
"smearspec",16
"spray",16
"stec",16
"226plate040",15
"226plate051",15
"campy",15
"dpt1",15
"flex",15
"ipv2",15
"malaria",15
"ors",15
"psi1",15
"rot1",15
"rot2",15
"rot3",15
"sasp",15
"skin",15
"10",14
"12",14
"126plate100",14
"126plate300",14
"226plate010",14
"226plate020",14
"226plate050",14
"226plate400",14
"5km",14
"activities",14
"care",14
"clusterid",14
"colcpt",14
"dx",14
"giardia",14
"heartrate",14
"hib",14
"hosp",14
"ipv1",14
"ipv3",14
"mhoccur",14
"otherhxongoing",14
"sae",14
"state",14
"trtmnt",14
"tv",14
"zinc",14
"11",13
"226plate011",13
"226plate030",13
"226plate055",13
"226plate101",13
"226plate150",13
"30d",13
"antimalarial",13
"bloodurine",13
"clock",13
"complete",13
"country",13
"crf3",13
"district",13
"dpt2",13
"epd",13
"epec",13
"f40",13
"fridge",13
"igm",13
"iv",13
"learn",13
"mhterm",13
"otherhxcmnt",13
"pharm",13
"privdoc",13
"pv",13
"remdy",13
"respirationrt",13
"rvn",13
"study",13
"temperature",13
"year",13
"01",12
"13",12
"226plate031",12
"226plate081",12
"226plate119",12
"226plate151",12
"226plate300",12
"227plate300",12
"aed",12
"anybac",12
"baseline",12
"bruise",12
"cough",12
"ctu",12
"danth",12
"diff",12
"dir",12
"dob",12
"e",12
"f17corr",12
"f18",12
"f19",12
"freq",12
"healer",12
"hla",12
"illsymp",12
"lmratio",12
"lt",12
"meas",12
"mic",12
"mobile",12
"pcp",12
"phone",12
"pso",12
"pto",12
"results",12
"samples",12
"sex",12
"shc",12
"symp",12
"126plate024",11
"126plate034",11
"226plate041",11
"226plate222",11
"aaic",11
"aata",11
"admit",11
"bed",11
"binary",11
"coma",11
"drink",11
"drop",11
"f2",11
"flm",11
"hbov",11
"height",11
"hmpv",11
"mother",11
"noseek",11
"othr2",11
"par",11
"qpcr",11
"reason",11
"rsv",11
"site",11
"status",11
"stickcol",11
"target",11
"treatdrugs",11
"vib",11
"where",11
