"entity","label","score","rank","query.iri","query.label","query.variable","searchable","value","cosine.dist"
"http://purl.obolibrary.org/obo/HP_0001595","Abnormal hair",51.851776,1,"http://purl.obolibrary.org/obo/EUPATH_0000309","Signs and symptoms","F7_ABN_HAIR | F4B_ABN_HAIR | F5_ABN_HAIR","F7 ABN HAIR   F4B ABN HAIR   F5 ABN HAIR",1,0.719485250672689
"http://purl.obolibrary.org/obo/EUPATH_0010410","Passed 3 or more abnormally loose stools in last 24hrs",13.229327,2,"http://purl.obolibrary.org/obo/EUPATH_0000309","Signs and symptoms","F7_ABN_HAIR | F4B_ABN_HAIR | F5_ABN_HAIR","F7 ABN HAIR   F4B ABN HAIR   F5 ABN HAIR",2,0.719485250672689
"http://purl.obolibrary.org/obo/EUPATH_0010095","Axillary temperature (C)",5.3764343,3,"http://purl.obolibrary.org/obo/EUPATH_0000309","Signs and symptoms","F7_ABN_HAIR | F4B_ABN_HAIR | F5_ABN_HAIR","F7 ABN HAIR   F4B ABN HAIR   F5 ABN HAIR",2,0.719485250672689
"http://purl.obolibrary.org/obo/EUPATH_0015117","Bipedal edema",5.3764343,4,"http://purl.obolibrary.org/obo/EUPATH_0000309","Signs and symptoms","F7_ABN_HAIR | F4B_ABN_HAIR | F5_ABN_HAIR","F7 ABN HAIR   F4B ABN HAIR   F5 ABN HAIR",1,0.719485250672689
"http://purl.obolibrary.org/obo/EUPATH_0010076","Height (cm), 2nd",5.1384034,5,"http://purl.obolibrary.org/obo/EUPATH_0000309","Signs and symptoms","F7_ABN_HAIR | F4B_ABN_HAIR | F5_ABN_HAIR","F7 ABN HAIR   F4B ABN HAIR   F5 ABN HAIR",2,0.719485250672689
"http://purl.obolibrary.org/obo/EUPATH_0010077","Height (cm), 3rd",5.1384034,6,"http://purl.obolibrary.org/obo/EUPATH_0000309","Signs and symptoms","F7_ABN_HAIR | F4B_ABN_HAIR | F5_ABN_HAIR","F7 ABN HAIR   F4B ABN HAIR   F5 ABN HAIR",2,0.719485250672689
"http://purl.obolibrary.org/obo/EUPATH_0010097","Respiratory rate (breaths/min), 2nd",5.037477,7,"http://purl.obolibrary.org/obo/EUPATH_0000309","Signs and symptoms","F7_ABN_HAIR | F4B_ABN_HAIR | F5_ABN_HAIR","F7 ABN HAIR   F4B ABN HAIR   F5 ABN HAIR",2,0.719485250672689
"http://purl.obolibrary.org/obo/EUPATH_0010078","Mean height (cm)",4.9884567,8,"http://purl.obolibrary.org/obo/EUPATH_0000309","Signs and symptoms","F7_ABN_HAIR | F4B_ABN_HAIR | F5_ABN_HAIR","F7 ABN HAIR   F4B ABN HAIR   F5 ABN HAIR",2,0.719485250672689
"http://purl.obolibrary.org/obo/EUPATH_0010087","Mean MUAC (cm)",4.9884567,9,"http://purl.obolibrary.org/obo/EUPATH_0000309","Signs and symptoms","F7_ABN_HAIR | F4B_ABN_HAIR | F5_ABN_HAIR","F7 ABN HAIR   F4B ABN HAIR   F5 ABN HAIR",2,0.719485250672689
"http://purl.obolibrary.org/obo/EUPATH_0010098","Mean respiratory rate (breaths/min)",4.9884567,10,"http://purl.obolibrary.org/obo/EUPATH_0000309","Signs and symptoms","F7_ABN_HAIR | F4B_ABN_HAIR | F5_ABN_HAIR","F7 ABN HAIR   F4B ABN HAIR   F5 ABN HAIR",2,0.719485250672689
"http://purl.obolibrary.org/obo/EUPATH_0010371","Breastfed",11.337344,1,"http://purl.obolibrary.org/obo/EUPATH_0010016","Diarrheal episodes","F4A_BREASTFED_BEFORE_ILL","F4A BREASTFED BEFORE ILL",2,0.905508881747693
"http://purl.obolibrary.org/obo/EUPATH_0021290","Activites before 6 am",5.064237,2,"http://purl.obolibrary.org/obo/EUPATH_0010016","Diarrheal episodes","F4A_BREASTFED_BEFORE_ILL","F4A BREASTFED BEFORE ILL",2,0.905508881747693
"http://purl.obolibrary.org/obo/EUPATH_0010519","Diarrhea, ALRI, fever, or vomiting present",4.902999,3,"http://purl.obolibrary.org/obo/EUPATH_0010016","Diarrheal episodes","F4A_BREASTFED_BEFORE_ILL","F4A BREASTFED BEFORE ILL",2,0.905508881747693
"http://purl.obolibrary.org/obo/EUPATH_0033195","Illness duration (days)",4.902999,4,"http://purl.obolibrary.org/obo/EUPATH_0010016","Diarrheal episodes","F4A_BREASTFED_BEFORE_ILL","F4A BREASTFED BEFORE ILL",2,0.905508881747693
