entity,label,definition,variable,parent_label,parent_IRI,codebook_description,codebook_values,category
http://purl.bioontology.org/ontology/SNOMEDCT/224619008,Migrant,,icemr1 brazil participant 05jul18z st::migrante,Relocation,http://purl.obolibrary.org/obo/EUPATH_0022068,migrant,binary,Participant
http://purl.bioontology.org/ontology/SNOMEDCT/40541001,Acute pulmonary edema,,manifestations chk   1 | pulmonary edema rad,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,Pulmonary edema,"1, Yes | 99999, unknown | 2, No",Observation
http://purl.obolibrary.org/obo/APOLLO_SV_00000570,Employment status,,trabaj,Employment,http://purl.obolibrary.org/obo/EUPATH_0000342,Employment status,,Participant
http://purl.obolibrary.org/obo/BFO_0000015,Observation type,"All variables were collected at the enrollment observation. At 24 hour and 48 hour follow-up observations, a few variables related to oxygen saturation were recollected for cases. At the 30 day follow-up observation, a few anthropometry variables were recollected for cases. | Information about clincial history, anthropometry, vital signs, symptoms, samples, and treatment were collected at enrollment as well as routine and non-routine visits to the cinic. Information about sleeping habits and mosquito traps were collected at entomology visits to the participant's home, which occured every 2 weeks. | Children enrolled in the VIDA study were seen at an enrollment visit and at a 60 day follow-up visit. Additionally, diarrheal cases may have additional measurements taken repeatedly over the course of their health center or hospital stay; following rehydration and upon leaving the facility.",226plate210::visnum | ext lab bv tacd::vstnum | ext lab bv polpcr::vstnum | ext bv ref st::vstnum | 126plate402::visnum | 226plate033::dfseq | 227plate498::visitcode | 226plate042::dfseq | 226plate084::dfseq | ext lab bv ctt::vstnum | 226plate004::dfseq | 227plate499::dfseq | 126plate002::dfseq | 226plate111::dfseq | ext bv f39::f39vn | 226plate053::dfseq | 126plate054::dfseq | 226plate041::dfseq | ext bv dir st::vstnum | 226plate212::visnum | 126plate021::dfseq | crf3 mali project 1 data::x...intervalname | ext bv f18::f18vn | ext lab bv zn::vstnum | 226plate003::dfseq | 227plate006::passvisit | 226plate032::dfseq | ext bv f104::f104vn | 226plate043::dfseq | ext bv sbo::sbvn | 227plate007::passvisit | 227plate005::passvisit | redcap event name | 226plate211::visnum | 226plate114::dfseq | ext lab bv vitd::vstnum | ext lab bv rals::vstnum | ext bv mfu st::vstnum | 126plate091::dfseq | 126plate033::dfseq | 226plate081::dfseq | ext bv pdv st::vstnum | 226plate020::dfseq | ext lab bv cmvrt::vstnum | 226plate013::dfseq | ext lab bv speclog vsr st::vstnum | ext lab bv scd14::vstnum | ext bv f14::f14vn | ext lab bv ala::vstnum | 126plate499::dfseq | ext bv f40::f40vn | ext lab bv rpliga::vstnum | ext lab bv endotox::vstnum | crf8 mali project 1 data::x...intervalname | ext lab bv cytbm::vstnum | ext lab bv rbmiga::vstnum | 126plate031::dfseq | 126plate035::dfseq | ext lab bv speclog cs st::vstnum | ext lab bv vac st::vstnum | ext mgmt bv ddep st::vstnum | ext bv dsmicr st::vstnum | 226plate101::visnum | ext lab bv speclog vsp st::vstnum | ext lab bv rotavs::vstnum | 226plate113::dfseq | crf1 mali project 1 data::x...intervalname | 226plate005::dfseq | ext bv dep st::vstnum | ext bv f10::f10vn | ext lab bv cytcp::vstnum | ext mgmt pso 18 st::vstnum | 126plate004::dfseq | 226plate103::visnum | 227plate001::dfseq | 226plate119::dfseq | ext lab bv cytmp::vstnum | 226plate080::dfseq | 226plate153::dfseq | 226plate150::dfseq | 126plate400::visnum | 227plate004::passvisit | 226plate499::dfseq | ext bv rvn::vnum | 126plate051::dfseq | ext lab bv rbp::vstnum | ext lab bv lps upd1::vstnum | ext bv f52::f52vn | ext lab bv speclog ib st::vstnum | ext bv neb st::vstnum | 226plate202::visnum | 126plate314::visnum | 226plate110::dfseq | 126plate036::dfseq | 126plate024::dfseq | 226plate055::dfseq | 226plate222::visnum | ext lab bv mpo::vstnum | ext lab bv tac::vstnum | ext lab bv speclog ds st::vstnum | 126plate412::visnum | 126plate300::visnum | 227plate497::visitcode1 | 126plate311::visnum | 226plate023::dfseq | 126plate032::dfseq | observation type | ext lab bv calp::vstnum | 126plate092::dfseq | 227plate496::visitcode1 | ext bv f17::f17vn | 126plate003::dfseq | ext lab bv cmv::vstnum | 226plate030::dfseq | ext lab bv bml st::vstnum | 226plate022::dfseq | 226plate083::dfseq | ext lab bv pcr::vstnum | ext bv sae st::vstnum | ext lab bv dsgene::vstnum | 126plate411::visnum | 226plate054::dfseq | 126plate414::visnum | ext bv ps1 2 st::vstnum | ext bv epd::vnum | ext lab bv pcrproto::vstnum | 226plate014::dfseq | 126plate023::dfseq | 226plate031::dfseq | 226plate051::dfseq | ext lab bv qpcr::vstnum | ext mgmt bv danth::vstnum | 226plate112::dfseq | 126plate011::dfseq | ext mgmt bv mib st::vstnum | ext lab bv speclog bm st::vstnum | 226plate151::dfseq | 126plate303::visnum | 226plate152::dfseq | 226plate221::visnum | ext mgmt psi1 2 3 st::vstnum | 226plate100::visnum | ext lab bv speclog is st::vstnum | 126plate053::dfseq | 126plate022::dfseq | ext bv ptreat st::vstnum | 126plate052::dfseq | ext lab bv pals::vstnum | 226plate040::dfseq | ext lab bv egf::vstnum | 126plate093::dfseq | ext lab bv neop::vstnum | 126plate034::dfseq | 226plate006::dfseq | ext mgmt bv aed st::vstnum | ext bv flm::flmvn | 226plate044::dfseq | 226plate012::dfseq | 126plate038::dfseq | ext bv fci::vnum | ext mgmt bv lmratio::lmwk | ext lab bv polsna mother st::vstnum | ext lab bv speclog fc st::vstnum | ext bv fan::fanvn | ext lab bv act::vstnum | 226plate011::dfseq | ext bv rss st::vstnum | 226plate102::visnum | 126plate413::visnum | 226plate010::dfseq | 126plate401::visnum | ext lab bv speclog iu st::vstnum | 226plate001::dfseq | 226plate400::dfstudy | 226plate021::dfseq | 226plate052::dfseq | 126plate090::dfseq | ext lab bv ctu::vstnum | 226plate201::visnum | 126plate312::visnum | 226plate082::dfseq | 126plate305::visnum | ext lab bv rpligg::vstnum | 226plate220::visnum | ext bv bsc::vnum | datasource | ext lab bv reg1b upd1::vstnum | 126plate313::visnum | 126plate037::dfseq | ext lab bv crp::vstnum | ext lab bv speclog mb st::vstnum | 126plate100::dfstudy | visittype | ext bv f53::f53vn | ext bv fcs st::vstnum | ext lab bv fer::vstnum | ext lab bv mfge8::vstnum | 226plate200::visnum | 226plate050::dfseq | 126plate302::visnum | 227plate300::dfstudy | ext lab bv polcul::vstnum | 126plate403::visnum | 126plate301::visnum | ext lab bv polsna infant st::vstnum | 226plate300::dfstudy | 126plate315::visnum | ext bv f06::f6vn | crf9 mali project 1 data::intervalname | 126plate304::visnum,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,Visit number | Derived by ST for loading with daily surveillance data | Passive Visit Code | Mark Visit Missed | 2. Visit Number | Type of visit | Visit Number | Visit week | observations from activities | 1. Visit number,"#NAME? | 1- Routine visit (done every 28 days)
2- Non-routine visit(all unsheduled days) | 01 = Week 17 | [0=Blank] [30=April/May 2018] [31=June 2018] [32=July 2018] [33=August 2018] [34=September 2018] [35=October 2018] [36=November 2018] [37=Dec 2018/Jan 2019] [38=February 2019] [39=March 2019] [40=April 2019] [115=Convalescence Visit 2018/2019] | 10=Clinic stool; 11=Viral shedding stool; 12=diarrheal stool; 13=Fecal cytokine stool; 33=InfantBlood;44= Infatn Urine; 55=Breast Milk; 66=MotherBlood; 77=Infant saliva | 15 = Week 78; 13 = Week 104 | MBS1-12(Mass Blood Survey), HP=Hospital, PCD=Passive Case Detection | 12 = Week 53-56 | 14 = Week 65; 15-Week 78; 16=Week 91 | 11 = Week 52, 99= missing | 3 = Week 10 | 06 = Week 17 | day_7_arm_1 end_of_study_arm_1   enrollment_arm_1 | 05 = Week 14 | 07 = Week 18 | 5 = Week 14, 11 = Week 52 | 2 = Week 6 | [0=Blank] [18=April/May 2017] [19=June 2017] [20=July 2017] [21=August 2017] [22=September 2017] [23=October 2017] [24=November 2017] [25=Dec 2017/Jan 2018] [26=February 2018] [27=March 2018] [28=April 2018] | 13= Week 104 | 04= Week 12 ; 08 = Week 24 | [0=Blank] [6=June 2016] [7=July 2016] [8=August 2016] [9=September 2016] [10=October 2016] [11=November 2016] [12=Dec 2016 / Jan 2017] [14=February 2017] [15=March 2017] [16=April 2017] | 09 = Week 39 | 10= Week 40",Observation
http://purl.obolibrary.org/obo/CHEBI_22723,Compound benzoic acid,,ext bv ptreat st::compound benzoic acid,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/CHEBI_3504,Cefpodoxime,,ext bv ptreat st::cefodoxime,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/CHEBI_3547,Cephradine,,ext bv ptreat st::cephradin,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/CHEBI_3638,Chloroquine,,pastyear treat drugs chk   3 | pastyear treatdrugs chk   3,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430,,binary,Participant
http://purl.obolibrary.org/obo/CHEBI_63609,Mefloquine,,pastyear treat drugs chk   5 | pastyear treatdrugs chk   5,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430,,binary,Participant
http://purl.obolibrary.org/obo/CHEBI_8405,Primaquine,,pastyear treatdrugs chk   6 | pastyear treat drugs chk   6,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430,,binary,Participant
