entity,label,definition,variable,parent_label,parent_IRI,codebook_description,codebook_values,category
http://purl.obolibrary.org/obo/BFO_0000015,Observation type,,,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,Observation
http://purl.obolibrary.org/obo/CMO_0000289,Respiratory rate (breaths/min),,F7 RESP1 | F4B RESP1 | F5 RESP1,Physical examination,http://purl.obolibrary.org/obo/OGMS_0000083,,,Observation
http://purl.obolibrary.org/obo/ENVO_00003064,Drinking water source,,,Household water,http://purl.obolibrary.org/obo/EUPATH_0000731,,,Household
http://purl.obolibrary.org/obo/ENVO_01000577,Radio,,F7 HOUSE RADIO | house radio | F4A HOUSE RADIO,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,B17: Household information. Multifilter: Does your house have:  A radio. Must be functioning. Select all that apply.,"0=No, 1=Yes",Household
http://purl.obolibrary.org/obo/ENVO_01000579,Television,,house tele | F4A HOUSE TELE | F7 HOUSE TELE,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,B17: Household information. Multifilter: Does your house have:  A television. Must be functioning. Select all that apply.,"0=No, 1=Yes",Household
http://purl.obolibrary.org/obo/ENVO_01000580,Telephone (mobile or non-mobile),,F4A HOUSE PHONE | house phone | F7 HOUSE PHONE,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,B17: Household information. Multifilter: Does your house have:  A telephone (mobile or non-mobile). Must be functioning. Select all that apply.,"0=No, 1=Yes",Household
http://purl.obolibrary.org/obo/ENVO_01000583,Refrigerator,,house fridge | F7 HOUSE FRIDGE | F4A HOUSE FRIDGE,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,B17: Household information. Multifilter: Does your house have:  A refrigerator. Must be functioning. Select all that apply.,"0=No, 1=Yes",Household
http://purl.obolibrary.org/obo/ENVO_01000615,Motorcycle or scooter,,F7 HOUSE SCOOT | F4A HOUSE SCOOT | house scoot,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,B17: Household information. Multifilter: Does your house have:  A motorcycle or scooter. Must be functioning. Select all that apply.,"0=No, 1=Yes",Household
http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,,floor | F4A FLOOR | F7 FLOOR,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,B16: Household information. What is the predominant floor inside the house.,"1=Earth/sand, 10=Carpet, 2=Dung, 3=Other, specify, 4=Wood planks, 5=Palm/bamboo, 6=Parquet or polished wood, 7=Vinyl or asphalt strips, 8=Ceramic tile, 9=Cement",Household
http://purl.obolibrary.org/obo/EUPATH_0000014,"Household wealth index, numerical",,wealth index | Wealth Index,Socioeconomic status,http://purl.obolibrary.org/obo/EUPATH_0011932,,,Household
http://purl.obolibrary.org/obo/EUPATH_0000019,Persons living in house,,F4A PPL HOUSE | F7 PPL HOUSE | ppl house,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,B12: Household information. How many people have been living regularly in your household for the past 6 months.,,Household
http://purl.obolibrary.org/obo/EUPATH_0000023,Cooking fuel,,,Dwelling facilities,http://purl.obolibrary.org/obo/EUPATH_0000302,,,Household
http://purl.obolibrary.org/obo/EUPATH_0000025,Sleeping rooms in dwelling,,F7 SLP ROOMS | slp rooms | F4A SLP ROOMS,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,B13: Household information. How many rooms in your household are used for sleeping.,,Household
http://purl.obolibrary.org/obo/EUPATH_0000143,"Household wealth index, categorical",,wiq,Socioeconomic status,http://purl.obolibrary.org/obo/EUPATH_0011932,,"0, 1, 2, 3, 4",Household
http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,,,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,,,Household
http://purl.obolibrary.org/obo/EUPATH_0000150,Death date,,F5 DATE DEATH | F4B DATE DEATH,Death information,http://purl.obolibrary.org/obo/EUPATH_0000671,,,Participant
http://purl.obolibrary.org/obo/EUPATH_0000151,Enrollment date,,ENROLLDATE,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,,,Participant
http://purl.obolibrary.org/obo/EUPATH_0000166,Animal-drawn cart,,F7 HOUSE CART | F4A HOUSE CART,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,,Household
http://purl.obolibrary.org/obo/EUPATH_0000171,Car or truck,,house car | F7 HOUSE CAR | F4A HOUSE CAR,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,B17: Household information. Multifilter: Does your house have:  A car or truck. Must be functioning. Select all that apply.,"0=No, 1=Yes",Household
http://purl.obolibrary.org/obo/EUPATH_0000179,Boat with a motor,,F4A HOUSE BOAT | F7 HOUSE BOAT | house boat,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,B17: Household information. Multifilter: Does your house have:  A boat with a motor. Must be functioning. Select all that apply.,"0=No, 1=Yes",Household
http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,Household
http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,Household
http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,Household
http://purl.obolibrary.org/obo/EUPATH_0000307,Participant study details,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,,,Participant
http://purl.obolibrary.org/obo/EUPATH_0000308,Hospitalization,,,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,Observation
http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,,,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,Observation
http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,Observation
http://purl.obolibrary.org/obo/EUPATH_0000321,Diagnosis at discharge,,,Hospitalization,http://purl.obolibrary.org/obo/EUPATH_0000308,,,Observation
