sub,super
http://purl.obolibrary.org/obo/EUPATH_0015547,http://purl.obolibrary.org/obo/EUPATH_0010013
http://purl.obolibrary.org/obo/EUPATH_0015547,http://purl.obolibrary.org/obo/EUPATH_0021098
http://purl.obolibrary.org/obo/EUPATH_0015547,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0015547,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0010380,http://purl.obolibrary.org/obo/EUPATH_0010013
http://purl.obolibrary.org/obo/EUPATH_0010380,http://purl.obolibrary.org/obo/EUPATH_0021098
http://purl.obolibrary.org/obo/EUPATH_0010380,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0010380,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0015520,http://purl.obolibrary.org/obo/EUPATH_0010013
http://purl.obolibrary.org/obo/EUPATH_0015520,http://purl.obolibrary.org/obo/EUPATH_0021098
http://purl.obolibrary.org/obo/EUPATH_0015520,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0015520,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0015679,http://purl.obolibrary.org/obo/EUPATH_0010013
http://purl.obolibrary.org/obo/EUPATH_0015679,http://purl.obolibrary.org/obo/EUPATH_0021098
http://purl.obolibrary.org/obo/EUPATH_0015679,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0015679,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0010014,http://purl.obolibrary.org/obo/EUPATH_0010013
http://purl.obolibrary.org/obo/EUPATH_0010014,http://purl.obolibrary.org/obo/EUPATH_0021098
http://purl.obolibrary.org/obo/EUPATH_0010014,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0010014,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0015531,http://purl.obolibrary.org/obo/EUPATH_0010013
http://purl.obolibrary.org/obo/EUPATH_0015531,http://purl.obolibrary.org/obo/EUPATH_0021098
http://purl.obolibrary.org/obo/EUPATH_0015531,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0015531,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0015554,http://purl.obolibrary.org/obo/EUPATH_0010013
http://purl.obolibrary.org/obo/EUPATH_0015554,http://purl.obolibrary.org/obo/EUPATH_0021098
http://purl.obolibrary.org/obo/EUPATH_0015554,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0015554,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0015548,http://purl.obolibrary.org/obo/EUPATH_0010013
http://purl.obolibrary.org/obo/EUPATH_0015548,http://purl.obolibrary.org/obo/EUPATH_0021098
http://purl.obolibrary.org/obo/EUPATH_0015548,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0015548,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0015553,http://purl.obolibrary.org/obo/EUPATH_0010013
http://purl.obolibrary.org/obo/EUPATH_0015553,http://purl.obolibrary.org/obo/EUPATH_0021098
http://purl.obolibrary.org/obo/EUPATH_0015553,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0015553,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0015709,http://purl.obolibrary.org/obo/EUPATH_0010013
http://purl.obolibrary.org/obo/EUPATH_0015709,http://purl.obolibrary.org/obo/EUPATH_0021098
http://purl.obolibrary.org/obo/EUPATH_0015709,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0015709,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0004991,http://purl.obolibrary.org/obo/EUPATH_0000310
http://purl.obolibrary.org/obo/EUPATH_0004991,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0004991,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0015683,http://purl.obolibrary.org/obo/EUPATH_0000310
http://purl.obolibrary.org/obo/EUPATH_0015683,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0015683,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0015469,http://purl.obolibrary.org/obo/EUPATH_0000310
http://purl.obolibrary.org/obo/EUPATH_0015469,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0015469,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0015711,http://purl.obolibrary.org/obo/EUPATH_0000310
http://purl.obolibrary.org/obo/EUPATH_0015711,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0015711,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0010062,http://purl.obolibrary.org/obo/EUPATH_0000310
http://purl.obolibrary.org/obo/EUPATH_0010062,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0010062,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0015593,http://purl.obolibrary.org/obo/EUPATH_0010006
http://purl.obolibrary.org/obo/EUPATH_0015593,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0015593,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0015561,http://purl.obolibrary.org/obo/EUPATH_0010006
http://purl.obolibrary.org/obo/EUPATH_0015561,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0015561,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0010379,http://purl.obolibrary.org/obo/EUPATH_0010006
http://purl.obolibrary.org/obo/EUPATH_0010379,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0010379,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0015574,http://purl.obolibrary.org/obo/EUPATH_0010006
http://purl.obolibrary.org/obo/EUPATH_0015574,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0015574,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0010245,http://purl.obolibrary.org/obo/EUPATH_0010006
http://purl.obolibrary.org/obo/EUPATH_0010245,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0010245,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0015587,http://purl.obolibrary.org/obo/EUPATH_0010006
http://purl.obolibrary.org/obo/EUPATH_0015587,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0015587,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0010258,http://purl.obolibrary.org/obo/EUPATH_0010006
http://purl.obolibrary.org/obo/EUPATH_0010258,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0010258,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0015568,http://purl.obolibrary.org/obo/EUPATH_0010006
http://purl.obolibrary.org/obo/EUPATH_0015568,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0015568,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0015582,http://purl.obolibrary.org/obo/EUPATH_0010006
http://purl.obolibrary.org/obo/EUPATH_0015582,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0015582,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0010253,http://purl.obolibrary.org/obo/EUPATH_0010006
http://purl.obolibrary.org/obo/EUPATH_0010253,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0010253,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0015595,http://purl.obolibrary.org/obo/EUPATH_0010006
http://purl.obolibrary.org/obo/EUPATH_0015595,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0015595,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0015563,http://purl.obolibrary.org/obo/EUPATH_0010006
http://purl.obolibrary.org/obo/EUPATH_0015563,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0015563,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0015598,http://purl.obolibrary.org/obo/EUPATH_0010006
http://purl.obolibrary.org/obo/EUPATH_0015598,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0015598,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0015576,http://purl.obolibrary.org/obo/EUPATH_0010006
http://purl.obolibrary.org/obo/EUPATH_0015576,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0015576,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0015590,http://purl.obolibrary.org/obo/EUPATH_0010006
http://purl.obolibrary.org/obo/EUPATH_0015590,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0015590,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0010247,http://purl.obolibrary.org/obo/EUPATH_0010006
http://purl.obolibrary.org/obo/EUPATH_0010247,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0010247,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0010261,http://purl.obolibrary.org/obo/EUPATH_0010006
http://purl.obolibrary.org/obo/EUPATH_0010261,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0010261,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0015589,http://purl.obolibrary.org/obo/EUPATH_0010006
http://purl.obolibrary.org/obo/EUPATH_0015589,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0015589,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0015571,http://purl.obolibrary.org/obo/EUPATH_0010006
http://purl.obolibrary.org/obo/EUPATH_0015571,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0015571,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/EUPATH_0015584,http://purl.obolibrary.org/obo/EUPATH_0010006
http://purl.obolibrary.org/obo/EUPATH_0015584,http://purl.obolibrary.org/obo/EUPATH_0000738
http://purl.obolibrary.org/obo/EUPATH_0015584,http://www.w3.org/2002/07/owl#Thing
